,start_st,weekday,date,demand,demand_int
92,83,2,4/5/2017,2.928977789,3
93,83,2,4/12/2017,2.907125687,3
94,83,2,4/19/2017,2.881484766,3
95,83,2,4/26/2017,2.856463937,3
96,83,3,4/6/2017,3.457450922,3
97,83,3,4/13/2017,3.199127938,3
98,83,3,4/20/2017,3.125915921,3
99,83,3,4/27/2017,3.20117745,3
100,83,4,4/7/2017,4.018021291,4
101,83,4,4/14/2017,3.993645576,4
102,83,4,4/21/2017,3.972713996,4
103,83,4,4/28/2017,3.951711996,4
104,83,5,4/1/2017,3.318872073,3
105,83,5,4/8/2017,3.038489337,3
106,83,5,4/15/2017,3.017374806,3
107,83,5,4/22/2017,3.067898639,3
108,83,6,4/2/2017,1.948248113,2
109,83,6,4/9/2017,1.911409357,2
110,83,6,4/16/2017,1.895565608,2
111,83,6,4/23/2017,1.874539215,2
112,116,0,4/3/2017,59.05068218,59
113,116,0,4/10/2017,59.33251018,59
114,116,0,4/17/2017,58.89371307,59
115,116,0,4/24/2017,58.84654409,59
116,116,1,4/4/2017,50.60191677,51
117,116,1,4/11/2017,67.35778344,67
118,116,1,4/18/2017,59.26418692,59
119,116,1,4/25/2017,57.1186533,57
120,116,2,4/5/2017,41.94447824,42
121,116,2,4/12/2017,38.55282372,39
122,116,2,4/19/2017,38.18068831,38
123,116,2,4/26/2017,39.27089357,39
124,116,3,4/6/2017,27.18053843,27
125,116,3,4/13/2017,27.02676263,27
126,116,3,4/20/2017,26.86648001,27
127,116,3,4/27/2017,26.70747601,27
128,116,4,4/7/2017,73.57633691,74
129,116,4,4/14/2017,73.63015955,74
130,116,4,4/21/2017,73.72412486,74
131,116,4,4/28/2017,73.81728382,74
132,116,5,4/1/2017,10.18823854,10
133,116,5,4/8/2017,10.34615651,10
134,116,5,4/15/2017,10.99381192,11
135,116,5,4/22/2017,10.40830982,10
136,116,6,4/2/2017,32.19628452,32
137,116,6,4/9/2017,32.14100338,32
138,116,6,4/16/2017,32.08570631,32
139,116,6,4/23/2017,32.03050517,32
140,120,0,4/3/2017,0.972666007,1
141,120,0,4/10/2017,0.959433054,1
142,120,0,4/17/2017,0.949288899,1
143,120,0,4/24/2017,0.938609992,1
144,120,1,4/4/2017,0.549300195,1
145,120,1,4/11/2017,0.54089955,1
146,120,1,4/18/2017,0.5332485,1
147,120,1,4/25/2017,0.525654851,1
148,120,2,4/5/2017,0.2897958,0
149,120,2,4/12/2017,0.284211451,0
150,120,2,4/19/2017,0.278734711,0
151,120,2,4/26/2017,0.273363508,0
152,120,3,4/6/2017,0.722803583,1
153,120,3,4/13/2017,0.71303878,1
154,120,3,4/20/2017,0.70331069,1
155,120,3,4/27/2017,0.69369405,1
156,120,4,4/7/2017,0.357000493,0
157,120,4,4/14/2017,0.352373001,0
158,120,4,4/21/2017,0.348070038,0
159,120,4,4/28/2017,0.343828301,0
160,120,5,4/1/2017,1.250353035,1
161,120,5,4/8/2017,1.240544302,1
162,120,5,4/15/2017,1.226937063,1
163,120,5,4/22/2017,1.213717272,1
164,120,6,4/2/2017,0.698854602,1
165,120,6,4/9/2017,0.742526598,1
166,120,6,4/16/2017,0.717013171,1
167,120,6,4/23/2017,0.711812773,1
168,127,0,4/3/2017,33.27048287,33
169,127,0,4/10/2017,33.25341847,33
170,127,0,4/17/2017,33.01247332,33
171,127,0,4/24/2017,32.83970146,33
172,127,1,4/4/2017,26.04681453,26
173,127,1,4/11/2017,29.1963808,29
174,127,1,4/18/2017,28.2960608,28
175,127,1,4/25/2017,27.4373384,27
176,127,2,4/5/2017,19.25057704,19
177,127,2,4/12/2017,17.58031609,18
178,127,2,4/19/2017,17.55774603,18
179,127,2,4/26/2017,17.79248122,18
180,127,3,4/6/2017,13.4645004,13
181,127,3,4/13/2017,13.34530942,13
182,127,3,4/20/2017,13.2056506,13
183,127,3,4/27/2017,13.0691612,13
184,127,4,4/7/2017,43.96744265,44
185,127,4,4/14/2017,43.88647934,44
186,127,4,4/21/2017,43.84050166,44
187,127,4,4/28/2017,43.79555169,44
188,127,5,4/1/2017,15.65902838,16
189,127,5,4/8/2017,15.6223573,16
190,127,5,4/15/2017,15.5689545,16
191,127,5,4/22/2017,15.51627324,16
192,127,6,4/2/2017,12.56737876,13
193,127,6,4/9/2017,12.48759029,12
194,127,6,4/16/2017,12.40830838,12
195,127,6,4/23/2017,12.32952983,12
196,128,0,4/3/2017,38.14040692,38
197,128,0,4/10/2017,37.99273172,38
198,128,0,4/17/2017,37.83668966,38
199,128,0,4/24/2017,37.68105624,38
200,128,1,4/4/2017,22.04820773,22
201,128,1,4/11/2017,25.5985346,26
202,128,1,4/18/2017,24.1765523,24
203,128,1,4/25/2017,23.27584307,23
204,128,2,4/5/2017,18.05273512,18
205,128,2,4/12/2017,16.56437835,17
206,128,2,4/19/2017,16.9816976,17
207,128,2,4/26/2017,16.83706782,17
208,128,3,4/6/2017,6.906429252,7
209,128,3,4/13/2017,6.811250862,7
210,128,3,4/20/2017,6.715296154,7
211,128,3,4/27/2017,6.620817231,7
212,128,4,4/7/2017,45.4567213,45
213,128,4,4/14/2017,45.39501197,45
214,128,4,4/21/2017,45.33338641,45
215,128,4,4/28/2017,45.27184451,45
216,128,5,4/1/2017,4.005578464,4
217,128,5,4/8/2017,3.449772658,3
218,128,5,4/15/2017,3.618231413,4
219,128,5,4/22/2017,3.580291908,4
220,128,6,4/2/2017,4.230657623,4
221,128,6,4/9/2017,4.177152657,4
222,128,6,4/16/2017,4.129851276,4
223,128,6,4/23/2017,4.082142083,4
224,143,0,4/3/2017,1.107591227,1
225,143,0,4/10/2017,1.077458644,1
226,143,0,4/17/2017,1.057117777,1
227,143,0,4/24/2017,1.03934995,1
228,143,1,4/4/2017,0.994864471,1
229,143,1,4/11/2017,0.968655765,1
230,143,1,4/18/2017,0.953583044,1
231,143,1,4/25/2017,0.93717031,1
232,143,2,4/5/2017,4.406886554,4
233,143,2,4/12/2017,3.69289844,4
234,143,2,4/19/2017,3.68161725,4
235,143,2,4/26/2017,3.857522693,4
236,143,3,4/6/2017,0.877367027,1
237,143,3,4/13/2017,0.864818042,1
238,143,3,4/20/2017,0.849055934,1
239,143,3,4/27/2017,0.834291115,1
240,143,4,4/7/2017,2.646007478,3
241,143,4,4/14/2017,2.596310612,3
242,143,4,4/21/2017,2.567426597,3
243,143,4,4/28/2017,2.540751764,3
244,143,5,4/1/2017,1.171292074,1
245,143,5,4/8/2017,1.157846477,1
246,143,5,4/15/2017,1.142508983,1
247,143,5,4/22/2017,1.12722603,1
248,143,6,4/2/2017,3.556282226,4
249,143,6,4/9/2017,3.54347736,4
250,143,6,4/16/2017,3.510617723,4
251,143,6,4/23/2017,3.480310525,3
252,144,0,4/3/2017,1.300518441,1
253,144,0,4/10/2017,1.286603562,1
254,144,0,4/17/2017,1.271996982,1
255,144,0,4/24/2017,1.257505728,1
256,144,1,4/4/2017,0.412410723,0
257,144,1,4/11/2017,0.405122159,0
258,144,1,4/18/2017,0.399936867,0
259,144,1,4/25/2017,0.395072724,0
260,144,2,4/5/2017,1.027149468,1
261,144,2,4/12/2017,1.024825394,1
262,144,2,4/19/2017,1.013172964,1
263,144,2,4/26/2017,1.002922578,1
264,144,3,4/6/2017,0.316129386,0
265,144,3,4/13/2017,0.310590285,0
266,144,3,4/20/2017,0.306199736,0
267,144,3,4/27/2017,0.301738906,0
268,144,4,4/7/2017,1.560574241,2
269,144,4,4/14/2017,1.550449854,2
270,144,4,4/21/2017,1.540391479,2
271,144,4,4/28/2017,1.530398357,2
272,144,5,4/1/2017,0.687473737,1
273,144,5,4/8/2017,0.436219488,0
274,144,5,4/15/2017,0.544318632,1
275,144,5,4/22/2017,0.565266441,1
276,144,6,4/2/2017,0.911451452,1
277,144,6,4/9/2017,0.903010658,1
278,144,6,4/16/2017,0.893081209,1
279,144,6,4/23/2017,0.883435025,1
280,146,0,4/3/2017,13.87694778,14
281,146,0,4/10/2017,13.71307446,14
282,146,0,4/17/2017,13.67794061,14
283,146,0,4/24/2017,13.59394374,14
284,146,1,4/4/2017,14.22280163,14
285,146,1,4/11/2017,16.28019489,16
286,146,1,4/18/2017,15.38138781,15
287,146,1,4/25/2017,15.06427196,15
288,146,2,4/5/2017,10.24425164,10
289,146,2,4/12/2017,9.042502709,9
290,146,2,4/19/2017,9.10219279,9
291,146,2,4/26/2017,9.332337093,9
292,146,3,4/6/2017,7.25431136,7
293,146,3,4/13/2017,6.473785211,6
294,146,3,4/20/2017,6.346975831,6
295,146,3,4/27/2017,6.597849531,7
296,146,4,4/7/2017,12.31097364,12
297,146,4,4/14/2017,12.24843701,12
298,146,4,4/21/2017,12.18784651,12
299,146,4,4/28/2017,12.12757745,12
300,146,5,4/1/2017,3.1551808,3
301,146,5,4/8/2017,3.142322389,3
302,146,5,4/15/2017,3.113684861,3
303,146,5,4/22/2017,3.082832249,3
304,146,6,4/2/2017,4.843350162,5
305,146,6,4/9/2017,4.808002383,5
306,146,6,4/16/2017,4.772909031,5
307,146,6,4/23/2017,4.738071831,5
308,150,0,4/3/2017,12.37469321,12
309,150,0,4/10/2017,12.28253211,12
310,150,0,4/17/2017,12.20110604,12
311,150,0,4/24/2017,12.12119999,12
312,150,1,4/4/2017,6.628628961,7
313,150,1,4/11/2017,6.565093487,7
314,150,1,4/18/2017,6.503163377,7
315,150,1,4/25/2017,6.441791378,6
316,150,2,4/5/2017,11.4080176,11
317,150,2,4/12/2017,10.31769998,10
318,150,2,4/19/2017,9.816911241,10
319,150,2,4/26/2017,10.38191688,10
320,150,3,4/6/2017,6.761378621,7
321,150,3,4/13/2017,6.684085968,7
322,150,3,4/20/2017,6.620015919,7
323,150,3,4/27/2017,6.555200872,7
324,150,4,4/7/2017,19.3284868,19
325,150,4,4/14/2017,19.11414003,19
326,150,4,4/21/2017,19.05060306,19
327,150,4,4/28/2017,19.00302804,19
328,150,5,4/1/2017,10.42420392,10
329,150,5,4/8/2017,10.36517385,10
330,150,5,4/15/2017,10.30647019,10
331,150,5,4/22/2017,10.24809902,10
332,150,6,4/2/2017,10.02465559,10
333,150,6,4/9/2017,9.966460804,10
334,150,6,4/16/2017,9.916806945,10
335,150,6,4/23/2017,9.86684427,10
336,151,0,4/3/2017,25.09658176,25
337,151,0,4/10/2017,25.65031108,26
338,151,0,4/17/2017,25.24740094,25
339,151,0,4/24/2017,25.00367985,25
340,151,1,4/4/2017,22.03324193,22
341,151,1,4/11/2017,26.87142567,27
342,151,1,4/18/2017,25.82972449,26
343,151,1,4/25/2017,24.35970234,24
344,151,2,4/5/2017,15.18640226,15
345,151,2,4/12/2017,13.16108021,13
346,151,2,4/19/2017,13.44759403,13
347,151,2,4/26/2017,13.70428886,14
348,151,3,4/6/2017,9.742552973,10
349,151,3,4/13/2017,9.637724499,10
350,151,3,4/20/2017,9.517964569,10
351,151,3,4/27/2017,9.402045995,9
352,151,4,4/7/2017,50.24944407,50
353,151,4,4/14/2017,50.14951509,50
354,151,4,4/21/2017,50.08618592,50
355,151,4,4/28/2017,50.02193813,50
356,151,5,4/1/2017,15.58468287,16
357,151,5,4/8/2017,15.47220736,15
358,151,5,4/15/2017,15.35936319,15
359,151,5,4/22/2017,15.24735547,15
360,151,6,4/2/2017,17.37034614,17
361,151,6,4/9/2017,17.27525092,17
362,151,6,4/16/2017,17.14905925,17
363,151,6,4/23/2017,17.02635299,17
364,152,0,4/3/2017,10.97348299,11
365,152,0,4/10/2017,10.87775939,11
366,152,0,4/17/2017,10.78463119,11
367,152,0,4/24/2017,10.69213343,11
368,152,1,4/4/2017,7.030324824,7
369,152,1,4/11/2017,7.915515335,8
370,152,1,4/18/2017,7.629267092,8
371,152,1,4/25/2017,7.412294473,7
372,152,2,4/5/2017,4.839363837,5
373,152,2,4/12/2017,4.886826306,5
374,152,2,4/19/2017,4.79666712,5
375,152,2,4/26/2017,4.750736099,5
376,152,3,4/6/2017,3.101147379,3
377,152,3,4/13/2017,3.061942657,3
378,152,3,4/20/2017,3.022018899,3
379,152,3,4/27/2017,2.982681284,3
380,152,4,4/7/2017,9.677109933,10
381,152,4,4/14/2017,9.619157748,10
382,152,4,4/21/2017,9.561640513,10
383,152,4,4/28/2017,9.504467522,10
384,152,5,4/1/2017,4.274020676,4
385,152,5,4/8/2017,4.235617647,4
386,152,5,4/15/2017,4.195446793,4
387,152,5,4/22/2017,4.155709315,4
388,152,6,4/2/2017,3.780805532,4
389,152,6,4/9/2017,3.744295895,4
390,152,6,4/16/2017,3.707847849,4
391,152,6,4/23/2017,3.671766593,4
392,153,0,4/3/2017,96.72265751,97
393,153,0,4/10/2017,95.66715963,96
394,153,0,4/17/2017,95.91576246,96
395,153,0,4/24/2017,95.93094801,96
396,153,1,4/4/2017,20.25027769,20
397,153,1,4/11/2017,20.08892766,20
398,153,1,4/18/2017,19.93931866,20
399,153,1,4/25/2017,19.79041103,20
400,153,2,4/5/2017,26.51243753,27
401,153,2,4/12/2017,25.72967112,26
402,153,2,4/19/2017,25.66649253,26
403,153,2,4/26/2017,25.49435896,25
404,153,3,4/6/2017,6.674482708,7
405,153,3,4/13/2017,6.585843904,7
406,153,3,4/20/2017,6.4853223,6
407,153,3,4/27/2017,6.38886844,6
408,153,4,4/7/2017,73.53272168,74
409,153,4,4/14/2017,73.57401877,74
410,153,4,4/21/2017,73.70684471,74
411,153,4,4/28/2017,73.83632089,74
412,153,5,4/1/2017,5.825432104,6
413,153,5,4/8/2017,4.603317063,5
414,153,5,4/15/2017,5.014340819,5
415,153,5,4/22/2017,5.066062342,5
416,153,6,4/2/2017,12.26085899,12
417,153,6,4/9/2017,12.20074672,12
418,153,6,4/16/2017,12.14065591,12
419,153,6,4/23/2017,12.08086569,12
420,157,0,4/3/2017,11.84206169,12
421,157,0,4/10/2017,11.73177605,12
422,157,0,4/17/2017,11.77134924,12
423,157,0,4/24/2017,11.66947086,12
424,157,1,4/4/2017,3.182462832,3
425,157,1,4/11/2017,3.122833832,3
426,157,1,4/18/2017,3.087851276,3
427,157,1,4/25/2017,3.057665534,3
428,157,2,4/5/2017,4.629854918,5
429,157,2,4/12/2017,3.954737106,4
430,157,2,4/19/2017,4.125030813,4
431,157,2,4/26/2017,4.176930102,4
432,157,3,4/6/2017,5.105196689,5
433,157,3,4/13/2017,5.065732885,5
434,157,3,4/20/2017,5.024236541,5
435,157,3,4/27/2017,4.983198099,5
436,157,4,4/7/2017,11.49718036,11
437,157,4,4/14/2017,11.40723215,11
438,157,4,4/21/2017,11.37729642,11
439,157,4,4/28/2017,11.34310978,11
440,157,5,4/1/2017,2.159936812,2
441,157,5,4/8/2017,2.039952722,2
442,157,5,4/15/2017,2.05827575,2
443,157,5,4/22/2017,2.039907935,2
444,157,6,4/2/2017,4.735455741,5
445,157,6,4/9/2017,4.680203693,5
446,157,6,4/16/2017,4.653334478,5
447,157,6,4/23/2017,4.622520148,5
448,161,0,4/3/2017,23.62184941,24
449,161,0,4/10/2017,23.56871036,24
450,161,0,4/17/2017,23.54609682,24
451,161,0,4/24/2017,23.29471784,23
452,161,1,4/4/2017,8.107070976,8
453,161,1,4/11/2017,8.022291815,8
454,161,1,4/18/2017,7.938399226,8
455,161,1,4/25/2017,7.855383938,8
456,161,2,4/5/2017,9.195697965,9
457,161,2,4/12/2017,8.168067692,8
458,161,2,4/19/2017,8.152228462,8
459,161,2,4/26/2017,8.310819154,8
460,161,3,4/6/2017,7.885304706,8
461,161,3,4/13/2017,7.785696493,8
462,161,3,4/20/2017,7.686895205,8
463,161,3,4/27/2017,7.589355015,8
464,161,4,4/7/2017,19.5821742,20
465,161,4,4/14/2017,19.42169599,19
466,161,4,4/21/2017,19.32868243,19
467,161,4,4/28/2017,19.23211412,19
468,161,5,4/1/2017,6.647033823,7
469,161,5,4/8/2017,6.593888504,7
470,161,5,4/15/2017,6.513827723,7
471,161,5,4/22/2017,6.437807371,6
472,161,6,4/2/2017,20.59720534,21
473,161,6,4/9/2017,20.56853552,21
474,161,6,4/16/2017,20.50282686,21
475,161,6,4/23/2017,20.4391593,20
476,164,0,4/3/2017,10.97194626,11
477,164,0,4/10/2017,10.91039122,11
478,164,0,4/17/2017,10.83487052,11
479,164,0,4/24/2017,10.75695006,11
480,164,1,4/4/2017,22.37283528,22
481,164,1,4/11/2017,23.36031174,23
482,164,1,4/18/2017,21.28454646,21
483,164,1,4/25/2017,21.87382311,22
484,164,2,4/5/2017,16.2774925,16
485,164,2,4/12/2017,14.32713582,14
486,164,2,4/19/2017,14.3786871,14
487,164,2,4/26/2017,14.85265877,15
488,164,3,4/6/2017,7.235462367,7
489,164,3,4/13/2017,7.163151079,7
490,164,3,4/20/2017,7.086511722,7
491,164,3,4/27/2017,7.011068945,7
492,164,4,4/7/2017,22.53377435,23
493,164,4,4/14/2017,22.40535415,22
494,164,4,4/21/2017,22.36261098,22
495,164,4,4/28/2017,22.32548761,22
496,164,5,4/1/2017,4.142136925,4
497,164,5,4/8/2017,4.100658881,4
498,164,5,4/15/2017,4.06352858,4
499,164,5,4/22/2017,4.026001789,4
500,164,6,4/2/2017,9.883956588,10
501,164,6,4/9/2017,9.850215371,10
502,164,6,4/16/2017,9.819224928,10
503,164,6,4/23/2017,9.788469178,10
504,167,0,4/3/2017,68.66347629,69
505,167,0,4/10/2017,74.21345349,74
506,167,0,4/17/2017,71.56567664,72
507,167,0,4/24/2017,71.03523937,71
508,167,1,4/4/2017,39.70643502,40
509,167,1,4/11/2017,44.9968366,45
510,167,1,4/18/2017,43.1566657,43
511,167,1,4/25/2017,41.95670996,42
512,167,2,4/5/2017,23.50631376,24
513,167,2,4/12/2017,23.36470195,23
514,167,2,4/19/2017,23.1839958,23
515,167,2,4/26/2017,23.00948761,23
516,167,3,4/6/2017,12.24550876,12
517,167,3,4/13/2017,12.14597292,12
518,167,3,4/20/2017,12.01504382,12
519,167,3,4/27/2017,11.88986194,12
520,167,4,4/7/2017,54.36171963,54
521,167,4,4/14/2017,54.07996604,54
522,167,4,4/21/2017,54.04300474,54
523,167,4,4/28/2017,54.02140547,54
524,167,5,4/1/2017,4.141075774,4
525,167,5,4/8/2017,3.468613675,3
526,167,5,4/15/2017,3.974708891,4
527,167,5,4/22/2017,3.77055531,4
528,167,6,4/2/2017,10.60797399,11
529,167,6,4/9/2017,10.54206274,11
530,167,6,4/16/2017,10.47596746,10
531,167,6,4/23/2017,10.41027794,10
532,168,0,4/3/2017,35.22815722,35
533,168,0,4/10/2017,35.71133709,36
534,168,0,4/17/2017,35.30308708,35
535,168,0,4/24/2017,34.95685879,35
536,168,1,4/4/2017,18.1557677,18
537,168,1,4/11/2017,18.00174328,18
538,168,1,4/18/2017,17.84902552,18
539,168,1,4/25/2017,17.69760335,18
540,168,2,4/5/2017,28.72800781,29
541,168,2,4/12/2017,24.49132608,24
542,168,2,4/19/2017,24.61833298,25
543,168,2,4/26/2017,25.79873974,26
544,168,3,4/6/2017,11.84647277,12
545,168,3,4/13/2017,11.7091149,12
546,168,3,4/20/2017,11.56084,12
547,168,3,4/27/2017,11.41545208,11
548,168,4,4/7/2017,65.43706465,65
549,168,4,4/14/2017,65.25316348,65
550,168,4,4/21/2017,65.13163529,65
551,168,4,4/28/2017,65.01244551,65
552,168,5,4/1/2017,9.439972609,9
553,168,5,4/8/2017,9.347542121,9
554,168,5,4/15/2017,9.254032573,9
555,168,5,4/22/2017,9.161512382,9
556,168,6,4/2/2017,30.94531979,31
557,168,6,4/9/2017,30.84701565,31
558,168,6,4/16/2017,30.73718544,31
559,168,6,4/23/2017,30.62811972,31
560,173,0,4/3/2017,16.02278382,16
561,173,0,4/10/2017,15.8117893,16
562,173,0,4/17/2017,15.66582323,16
563,173,0,4/24/2017,15.53300327,16
564,173,1,4/4/2017,16.42731423,16
565,173,1,4/11/2017,17.65515787,18
566,173,1,4/18/2017,17.48912882,17
567,173,1,4/25/2017,16.83230664,17
568,173,2,4/5/2017,20.53900568,21
569,173,2,4/12/2017,20.36438938,20
570,173,2,4/19/2017,20.1870387,20
571,173,2,4/26/2017,20.0114271,20
572,173,3,4/6/2017,9.504947533,10
573,173,3,4/13/2017,9.389585603,9
574,173,3,4/20/2017,9.275002003,9
575,173,3,4/27/2017,9.161801916,9
576,173,4,4/7/2017,40.4135354,40
577,173,4,4/14/2017,39.78940828,40
578,173,4,4/21/2017,39.61449204,40
579,173,4,4/28/2017,39.49487616,39
580,173,5,4/1/2017,6.632393126,7
581,173,5,4/8/2017,6.579769909,7
582,173,5,4/15/2017,6.526494635,7
583,173,5,4/22/2017,6.473631703,6
584,173,6,4/2/2017,12.02495275,12
585,173,6,4/9/2017,11.98118127,12
586,173,6,4/16/2017,11.9243207,12
587,173,6,4/23/2017,11.86620971,12
588,174,0,4/3/2017,33.70815913,34
589,174,0,4/10/2017,35.86438217,36
590,174,0,4/17/2017,35.41168054,35
591,174,0,4/24/2017,34.66471975,35
592,174,1,4/4/2017,11.83661205,12
593,174,1,4/11/2017,12.8940471,13
594,174,1,4/18/2017,11.94936354,12
595,174,1,4/25/2017,11.9926421,12
596,174,2,4/5/2017,19.66121326,20
597,174,2,4/12/2017,19.60262245,20
598,174,2,4/19/2017,19.09532857,19
599,174,2,4/26/2017,19.10983848,19
600,174,3,4/6/2017,8.272941093,8
601,174,3,4/13/2017,8.181010079,8
602,174,3,4/20/2017,8.090100625,8
603,174,3,4/27/2017,8.000201379,8
604,174,4,4/7/2017,24.9429926,25
605,174,4,4/14/2017,24.19248621,24
606,174,4,4/21/2017,23.99217086,24
607,174,4,4/28/2017,23.89394147,24
608,174,5,4/1/2017,5.484691241,5
609,174,5,4/8/2017,5.784674991,6
610,174,5,4/15/2017,5.697019335,6
611,174,5,4/22/2017,5.617276897,6
612,174,6,4/2/2017,11.30174869,11
613,174,6,4/9/2017,11.23451677,11
614,174,6,4/16/2017,11.16640727,11
615,174,6,4/23/2017,11.09865297,11
616,195,0,4/3/2017,39.34954447,39
617,195,0,4/10/2017,40.29897144,40
618,195,0,4/17/2017,39.38733962,39
619,195,0,4/24/2017,39.39360486,39
620,195,1,4/4/2017,22.05031875,22
621,195,1,4/11/2017,22.89901947,23
622,195,1,4/18/2017,22.50884023,23
623,195,1,4/25/2017,22.24256516,22
624,195,2,4/5/2017,12.52407078,13
625,195,2,4/12/2017,12.4272526,12
626,195,2,4/19/2017,12.31593661,12
627,195,2,4/26/2017,12.20738071,12
628,195,3,4/6/2017,3.634262398,4
629,195,3,4/13/2017,3.589651861,4
630,195,3,4/20/2017,3.53750159,4
631,195,3,4/27/2017,3.486927876,3
632,195,4,4/7/2017,29.53727024,30
633,195,4,4/14/2017,29.01124284,29
634,195,4,4/21/2017,28.88109814,29
635,195,4,4/28/2017,28.80946043,29
636,195,5,4/1/2017,3.081022353,3
637,195,5,4/8/2017,3.203428345,3
638,195,5,4/15/2017,3.145076945,3
639,195,5,4/22/2017,3.127619316,3
640,195,6,4/2/2017,6.546038725,7
641,195,6,4/9/2017,6.505020569,7
642,195,6,4/16/2017,6.464176462,6
643,195,6,4/23/2017,6.423593255,6
644,212,0,4/3/2017,22.95714635,23
645,212,0,4/10/2017,23.20377969,23
646,212,0,4/17/2017,22.88143712,23
647,212,0,4/24/2017,22.66775485,23
648,212,1,4/4/2017,7.998589556,8
649,212,1,4/11/2017,7.913293167,8
650,212,1,4/18/2017,7.829497922,8
651,212,1,4/25/2017,7.746579332,8
652,212,2,4/5/2017,13.06304477,13
653,212,2,4/12/2017,10.53795087,11
654,212,2,4/19/2017,11.37624377,11
655,212,2,4/26/2017,11.6165338,12
656,212,3,4/6/2017,4.357427724,4
657,212,3,4/13/2017,4.294454028,4
658,212,3,4/20/2017,4.231101035,4
659,212,3,4/27/2017,4.168764586,4
660,212,4,4/7/2017,28.49775307,28
661,212,4,4/14/2017,28.2978237,28
662,212,4,4/21/2017,28.20041746,28
663,212,4,4/28/2017,28.11098599,28
