,start_st,weekday,date,demand,type
206,7007,2,2017-07-26,104,Forecast
207,7007,2,2017-08-02,113,Forecast
208,7007,3,2017-07-13,93,Forecast
209,7007,3,2017-07-20,130,Forecast
210,7007,3,2017-07-27,107,Forecast
211,7007,3,2017-08-03,109,Forecast
212,7007,4,2017-07-14,90,Forecast
213,7007,4,2017-07-21,101,Forecast
214,7007,4,2017-07-28,95,Forecast
215,7007,4,2017-08-04,100,Forecast
216,7007,5,2017-07-15,80,Forecast
217,7007,5,2017-07-22,72,Forecast
218,7007,5,2017-07-29,65,Forecast
219,7007,5,2017-08-05,83,Forecast
220,7007,6,2017-07-16,69,Forecast
221,7007,6,2017-07-23,82,Forecast
222,7007,6,2017-07-30,78,Forecast
223,7007,6,2017-08-06,66,Forecast
224,7008,0,2017-07-17,256,Forecast
225,7008,0,2017-07-24,268,Forecast
226,7008,0,2017-07-31,204,Forecast
227,7008,0,2017-08-07,269,Forecast
228,7008,1,2017-07-11,165,Forecast
229,7008,1,2017-07-18,235,Forecast
230,7008,1,2017-07-25,237,Forecast
231,7008,1,2017-08-01,267,Forecast
232,7008,2,2017-07-12,211,Forecast
233,7008,2,2017-07-19,172,Forecast
234,7008,2,2017-07-26,177,Forecast
235,7008,2,2017-08-02,241,Forecast
236,7008,3,2017-07-13,221,Forecast
237,7008,3,2017-07-20,236,Forecast
238,7008,3,2017-07-27,204,Forecast
239,7008,3,2017-08-03,278,Forecast
240,7008,4,2017-07-14,207,Forecast
241,7008,4,2017-07-21,227,Forecast
242,7008,4,2017-07-28,256,Forecast
243,7008,4,2017-08-04,246,Forecast
244,7008,5,2017-07-15,166,Forecast
245,7008,5,2017-07-22,159,Forecast
246,7008,5,2017-07-29,199,Forecast
247,7008,5,2017-08-05,223,Forecast
248,7008,6,2017-07-16,194,Forecast
249,7008,6,2017-07-23,164,Forecast
250,7008,6,2017-07-30,155,Forecast
251,7008,6,2017-08-06,154,Forecast
252,7009,0,2017-07-17,85,Forecast
253,7009,0,2017-07-24,70,Forecast
254,7009,0,2017-07-31,78,Forecast
255,7009,0,2017-08-07,75,Forecast
256,7009,1,2017-07-11,79,Forecast
257,7009,1,2017-07-18,87,Forecast
258,7009,1,2017-07-25,74,Forecast
259,7009,1,2017-08-01,81,Forecast
260,7009,2,2017-07-12,80,Forecast
261,7009,2,2017-07-19,83,Forecast
262,7009,2,2017-07-26,58,Forecast
263,7009,2,2017-08-02,60,Forecast
264,7009,3,2017-07-13,62,Forecast
265,7009,3,2017-07-20,75,Forecast
266,7009,3,2017-07-27,74,Forecast
267,7009,3,2017-08-03,69,Forecast
268,7009,4,2017-07-14,70,Forecast
269,7009,4,2017-07-21,71,Forecast
270,7009,4,2017-07-28,56,Forecast
271,7009,4,2017-08-04,78,Forecast
272,7009,5,2017-07-15,59,Forecast
273,7009,5,2017-07-22,71,Forecast
274,7009,5,2017-07-29,54,Forecast
275,7009,5,2017-08-05,81,Forecast
276,7009,6,2017-07-16,72,Forecast
277,7009,6,2017-07-23,65,Forecast
278,7009,6,2017-07-30,51,Forecast
279,7009,6,2017-08-06,67,Forecast
280,7010,0,2017-07-17,142,Forecast
281,7010,0,2017-07-24,125,Forecast
282,7010,0,2017-07-31,133,Forecast
283,7010,0,2017-08-07,143,Forecast
284,7010,1,2017-07-11,188,Forecast
285,7010,1,2017-07-18,183,Forecast
286,7010,1,2017-07-25,170,Forecast
287,7010,1,2017-08-01,164,Forecast
288,7010,2,2017-07-12,189,Forecast
289,7010,2,2017-07-19,175,Forecast
290,7010,2,2017-07-26,202,Forecast
291,7010,2,2017-08-02,160,Forecast
292,7010,3,2017-07-13,183,Forecast
293,7010,3,2017-07-20,228,Forecast
294,7010,3,2017-07-27,202,Forecast
295,7010,3,2017-08-03,197,Forecast
296,7010,4,2017-07-14,178,Forecast
297,7010,4,2017-07-21,175,Forecast
298,7010,4,2017-07-28,163,Forecast
299,7010,4,2017-08-04,168,Forecast
300,7010,5,2017-07-15,146,Forecast
301,7010,5,2017-07-22,125,Forecast
302,7010,5,2017-07-29,145,Forecast
303,7010,5,2017-08-05,127,Forecast
304,7010,6,2017-07-16,102,Forecast
305,7010,6,2017-07-23,120,Forecast
306,7010,6,2017-07-30,116,Forecast
307,7010,6,2017-08-06,127,Forecast
308,7011,0,2017-07-17,70,Forecast
309,7011,0,2017-07-24,51,Forecast
310,7011,0,2017-07-31,54,Forecast
311,7011,0,2017-08-07,59,Forecast
312,7011,1,2017-07-11,83,Forecast
313,7011,1,2017-07-18,74,Forecast
314,7011,1,2017-07-25,74,Forecast
315,7011,1,2017-08-01,87,Forecast
316,7011,2,2017-07-12,31,Forecast
317,7011,2,2017-07-19,91,Forecast
318,7011,2,2017-07-26,96,Forecast
319,7011,2,2017-08-02,98,Forecast
320,7011,3,2017-07-13,62,Forecast
321,7011,3,2017-07-20,103,Forecast
322,7011,3,2017-07-27,85,Forecast
323,7011,3,2017-08-03,110,Forecast
324,7011,4,2017-07-14,81,Forecast
325,7011,4,2017-07-21,65,Forecast
326,7011,4,2017-07-28,81,Forecast
327,7011,4,2017-08-04,70,Forecast
328,7011,5,2017-07-15,62,Forecast
329,7011,5,2017-07-22,54,Forecast
330,7011,5,2017-07-29,56,Forecast
331,7011,5,2017-08-05,66,Forecast
332,7011,6,2017-07-16,63,Forecast
333,7011,6,2017-07-23,58,Forecast
334,7011,6,2017-07-30,50,Forecast
335,7011,6,2017-08-06,61,Forecast
336,7012,0,2017-07-17,136,Forecast
337,7012,0,2017-07-24,136,Forecast
338,7012,0,2017-07-31,151,Forecast
339,7012,0,2017-08-07,145,Forecast
340,7012,1,2017-07-11,132,Forecast
341,7012,1,2017-07-18,120,Forecast
342,7012,1,2017-07-25,130,Forecast
343,7012,1,2017-08-01,133,Forecast
344,7012,2,2017-07-12,163,Forecast
345,7012,2,2017-07-19,148,Forecast
346,7012,2,2017-07-26,163,Forecast
347,7012,2,2017-08-02,144,Forecast
348,7012,3,2017-07-13,150,Forecast
349,7012,3,2017-07-20,159,Forecast
350,7012,3,2017-07-27,163,Forecast
351,7012,3,2017-08-03,177,Forecast
352,7012,4,2017-07-14,178,Forecast
353,7012,4,2017-07-21,162,Forecast
354,7012,4,2017-07-28,152,Forecast
355,7012,4,2017-08-04,143,Forecast
356,7012,5,2017-07-15,157,Forecast
357,7012,5,2017-07-22,120,Forecast
358,7012,5,2017-07-29,163,Forecast
359,7012,5,2017-08-05,145,Forecast
360,7012,6,2017-07-16,132,Forecast
361,7012,6,2017-07-23,130,Forecast
362,7012,6,2017-07-30,133,Forecast
363,7012,6,2017-08-06,149,Forecast
364,7013,0,2017-07-17,92,Forecast
365,7013,0,2017-07-24,104,Forecast
366,7013,0,2017-07-31,85,Forecast
367,7013,0,2017-08-07,91,Forecast
368,7013,1,2017-07-11,84,Forecast
369,7013,1,2017-07-18,117,Forecast
370,7013,1,2017-07-25,98,Forecast
371,7013,1,2017-08-01,87,Forecast
372,7013,2,2017-07-12,97,Forecast
373,7013,2,2017-07-19,104,Forecast
374,7013,2,2017-07-26,110,Forecast
375,7013,2,2017-08-02,91,Forecast
376,7013,3,2017-07-13,89,Forecast
377,7013,3,2017-07-20,119,Forecast
378,7013,3,2017-07-27,119,Forecast
379,7013,3,2017-08-03,118,Forecast
380,7013,4,2017-07-14,105,Forecast
381,7013,4,2017-07-21,111,Forecast
382,7013,4,2017-07-28,93,Forecast
383,7013,4,2017-08-04,112,Forecast
384,7013,5,2017-07-15,73,Forecast
385,7013,5,2017-07-22,70,Forecast
386,7013,5,2017-07-29,56,Forecast
387,7013,5,2017-08-05,93,Forecast
388,7013,6,2017-07-16,86,Forecast
389,7013,6,2017-07-23,82,Forecast
390,7013,6,2017-07-30,82,Forecast
391,7013,6,2017-08-06,63,Forecast
392,7014,0,2017-05-29,144,Forecast
393,7014,0,2017-06-05,125,Forecast
394,7014,0,2017-06-12,111,Forecast
395,7014,0,2017-06-19,152,Forecast
396,7014,1,2017-05-30,134,Forecast
397,7014,1,2017-06-06,130,Forecast
398,7014,1,2017-06-13,104,Forecast
399,7014,1,2017-06-20,135,Forecast
400,7014,2,2017-05-31,150,Forecast
401,7014,2,2017-06-07,165,Forecast
402,7014,2,2017-06-14,138,Forecast
403,7014,2,2017-06-21,172,Forecast
404,7014,3,2017-06-01,128,Forecast
405,7014,3,2017-06-08,100,Forecast
406,7014,3,2017-06-15,132,Forecast
407,7014,3,2017-06-22,124,Forecast
408,7014,4,2017-06-02,156,Forecast
409,7014,4,2017-06-09,156,Forecast
410,7014,4,2017-06-16,190,Forecast
411,7014,4,2017-06-23,180,Forecast
412,7014,5,2017-05-27,184,Forecast
413,7014,5,2017-06-03,173,Forecast
414,7014,5,2017-06-10,188,Forecast
415,7014,5,2017-06-17,212,Forecast
416,7014,6,2017-05-28,160,Forecast
417,7014,6,2017-06-04,166,Forecast
418,7014,6,2017-06-11,182,Forecast
419,7014,6,2017-06-18,162,Forecast
420,7015,0,2017-07-17,86,Forecast
421,7015,0,2017-07-24,106,Forecast
422,7015,0,2017-07-31,81,Forecast
423,7015,0,2017-08-07,88,Forecast
424,7015,1,2017-07-11,192,Forecast
425,7015,1,2017-07-18,197,Forecast
426,7015,1,2017-07-25,179,Forecast
427,7015,1,2017-08-01,179,Forecast
428,7015,2,2017-07-12,203,Forecast
429,7015,2,2017-07-19,220,Forecast
430,7015,2,2017-07-26,211,Forecast
431,7015,2,2017-08-02,197,Forecast
432,7015,3,2017-07-13,201,Forecast
433,7015,3,2017-07-20,215,Forecast
434,7015,3,2017-07-27,226,Forecast
435,7015,3,2017-08-03,218,Forecast
436,7015,4,2017-07-14,227,Forecast
437,7015,4,2017-07-21,224,Forecast
438,7015,4,2017-07-28,190,Forecast
439,7015,4,2017-08-04,223,Forecast
440,7015,5,2017-07-15,215,Forecast
441,7015,5,2017-07-22,216,Forecast
442,7015,5,2017-07-29,196,Forecast
443,7015,5,2017-08-05,208,Forecast
444,7015,6,2017-07-16,110,Forecast
445,7015,6,2017-07-23,122,Forecast
446,7015,6,2017-07-30,131,Forecast
447,7015,6,2017-08-06,105,Forecast
448,7016,0,2017-07-17,110,Forecast
449,7016,0,2017-07-24,93,Forecast
450,7016,0,2017-07-31,90,Forecast
451,7016,0,2017-08-07,115,Forecast
452,7016,1,2017-07-11,153,Forecast
453,7016,1,2017-07-18,149,Forecast
454,7016,1,2017-07-25,95,Forecast
455,7016,1,2017-08-01,144,Forecast
456,7016,2,2017-07-12,197,Forecast
457,7016,2,2017-07-19,180,Forecast
458,7016,2,2017-07-26,181,Forecast
459,7016,2,2017-08-02,170,Forecast
460,7016,3,2017-07-13,152,Forecast
461,7016,3,2017-07-20,182,Forecast
462,7016,3,2017-07-27,183,Forecast
463,7016,3,2017-08-03,169,Forecast
464,7016,4,2017-07-14,181,Forecast
465,7016,4,2017-07-21,177,Forecast
466,7016,4,2017-07-28,182,Forecast
467,7016,4,2017-08-04,189,Forecast
468,7016,5,2017-07-15,137,Forecast
469,7016,5,2017-07-22,138,Forecast
470,7016,5,2017-07-29,129,Forecast
471,7016,5,2017-08-05,153,Forecast
472,7016,6,2017-07-16,131,Forecast
473,7016,6,2017-07-23,107,Forecast
474,7016,6,2017-07-30,104,Forecast
475,7016,6,2017-08-06,114,Forecast
476,7017,0,2017-07-17,159,Forecast
477,7017,0,2017-07-24,159,Forecast
478,7017,0,2017-07-31,159,Forecast
479,7017,0,2017-08-07,159,Forecast
480,7017,1,2017-07-11,230,Forecast
481,7017,1,2017-07-18,230,Forecast
482,7017,1,2017-07-25,230,Forecast
483,7017,1,2017-08-01,230,Forecast
484,7017,2,2017-07-12,245,Forecast
485,7017,2,2017-07-19,245,Forecast
486,7017,2,2017-07-26,245,Forecast
487,7017,2,2017-08-02,245,Forecast
488,7017,3,2017-07-13,278,Forecast
489,7017,3,2017-07-20,278,Forecast
490,7017,3,2017-07-27,278,Forecast
491,7017,3,2017-08-03,278,Forecast
492,7017,4,2017-07-14,245,Forecast
493,7017,4,2017-07-21,245,Forecast
494,7017,4,2017-07-28,245,Forecast
495,7017,4,2017-08-04,245,Forecast
496,7017,5,2017-07-15,220,Forecast
497,7017,5,2017-07-22,220,Forecast
498,7017,5,2017-07-29,220,Forecast
499,7017,5,2017-08-05,220,Forecast
500,7017,6,2017-07-16,148,Forecast
501,7017,6,2017-07-23,148,Forecast
502,7017,6,2017-07-30,148,Forecast
503,7017,6,2017-08-06,148,Forecast
504,7018,0,2017-07-17,123,Forecast
505,7018,0,2017-07-24,126,Forecast
506,7018,0,2017-07-31,118,Forecast
507,7018,0,2017-08-07,125,Forecast
508,7018,1,2017-07-11,142,Forecast
509,7018,1,2017-07-18,160,Forecast
510,7018,1,2017-07-25,123,Forecast
511,7018,1,2017-08-01,145,Forecast
512,7018,2,2017-07-12,132,Forecast
513,7018,2,2017-07-19,165,Forecast
514,7018,2,2017-07-26,134,Forecast
515,7018,2,2017-08-02,144,Forecast
516,7018,3,2017-07-13,136,Forecast
517,7018,3,2017-07-20,120,Forecast
518,7018,3,2017-07-27,145,Forecast
519,7018,3,2017-08-03,129,Forecast
520,7018,4,2017-07-14,151,Forecast
521,7018,4,2017-07-21,130,Forecast
522,7018,4,2017-07-28,131,Forecast
523,7018,4,2017-08-04,126,Forecast
524,7018,5,2017-07-15,118,Forecast
525,7018,5,2017-07-22,128,Forecast
526,7018,5,2017-07-29,145,Forecast
527,7018,5,2017-08-05,117,Forecast
528,7018,6,2017-07-16,97,Forecast
529,7018,6,2017-07-23,128,Forecast
530,7018,6,2017-07-30,100,Forecast
531,7018,6,2017-08-06,74,Forecast
532,7019,0,2017-07-17,513,Forecast
533,7019,0,2017-07-24,504,Forecast
534,7019,0,2017-07-31,644,Forecast
535,7019,0,2017-08-07,605,Forecast
536,7019,1,2017-07-11,315,Forecast
537,7019,1,2017-07-18,431,Forecast
538,7019,1,2017-07-25,403,Forecast
539,7019,1,2017-08-01,454,Forecast
540,7019,2,2017-07-12,288,Forecast
541,7019,2,2017-07-19,297,Forecast
542,7019,2,2017-07-26,263,Forecast
543,7019,2,2017-08-02,260,Forecast
544,7019,3,2017-07-13,397,Forecast
545,7019,3,2017-07-20,320,Forecast
546,7019,3,2017-07-27,360,Forecast
547,7019,3,2017-08-03,312,Forecast
548,7019,4,2017-07-14,294,Forecast
549,7019,4,2017-07-21,282,Forecast
550,7019,4,2017-07-28,264,Forecast
551,7019,4,2017-08-04,303,Forecast
552,7019,5,2017-07-15,341,Forecast
553,7019,5,2017-07-22,256,Forecast
554,7019,5,2017-07-29,382,Forecast
555,7019,5,2017-08-05,321,Forecast
556,7019,6,2017-07-16,381,Forecast
557,7019,6,2017-07-23,355,Forecast
558,7019,6,2017-07-30,436,Forecast
559,7019,6,2017-08-06,334,Forecast
560,7020,0,2017-07-17,178,Forecast
561,7020,0,2017-07-24,247,Forecast
562,7020,0,2017-07-31,250,Forecast
563,7020,0,2017-08-07,226,Forecast
564,7020,1,2017-07-11,266,Forecast
565,7020,1,2017-07-18,258,Forecast
566,7020,1,2017-07-25,250,Forecast
567,7020,1,2017-08-01,257,Forecast
568,7020,2,2017-07-12,280,Forecast
569,7020,2,2017-07-19,239,Forecast
570,7020,2,2017-07-26,256,Forecast
571,7020,2,2017-08-02,231,Forecast
572,7020,3,2017-07-13,232,Forecast
573,7020,3,2017-07-20,254,Forecast
574,7020,3,2017-07-27,251,Forecast
575,7020,3,2017-08-03,248,Forecast
576,7020,4,2017-07-14,273,Forecast
577,7020,4,2017-07-21,285,Forecast
578,7020,4,2017-07-28,264,Forecast
579,7020,4,2017-08-04,230,Forecast
580,7020,5,2017-07-15,201,Forecast
581,7020,5,2017-07-22,180,Forecast
582,7020,5,2017-07-29,220,Forecast
583,7020,5,2017-08-05,169,Forecast
584,7020,6,2017-07-16,223,Forecast
585,7020,6,2017-07-23,246,Forecast
586,7020,6,2017-07-30,194,Forecast
587,7020,6,2017-08-06,179,Forecast
588,7021,0,2017-07-17,217,Forecast
589,7021,0,2017-07-24,196,Forecast
590,7021,0,2017-07-31,185,Forecast
591,7021,0,2017-08-07,191,Forecast
592,7021,1,2017-07-11,363,Forecast
593,7021,1,2017-07-18,382,Forecast
594,7021,1,2017-07-25,258,Forecast
595,7021,1,2017-08-01,354,Forecast
596,7021,2,2017-07-12,481,Forecast
597,7021,2,2017-07-19,488,Forecast
598,7021,2,2017-07-26,476,Forecast
599,7021,2,2017-08-02,485,Forecast
600,7021,3,2017-07-13,403,Forecast
601,7021,3,2017-07-20,446,Forecast
602,7021,3,2017-07-27,449,Forecast
603,7021,3,2017-08-03,463,Forecast
604,7021,4,2017-07-14,458,Forecast
605,7021,4,2017-07-21,418,Forecast
606,7021,4,2017-07-28,438,Forecast
607,7021,4,2017-08-04,426,Forecast
608,7021,5,2017-07-15,422,Forecast
609,7021,5,2017-07-22,494,Forecast
610,7021,5,2017-07-29,506,Forecast
611,7021,5,2017-08-05,504,Forecast
612,7021,6,2017-07-16,159,Forecast
613,7021,6,2017-07-23,165,Forecast
614,7021,6,2017-07-30,156,Forecast
615,7021,6,2017-08-06,181,Forecast
616,7022,0,2017-07-17,127,Forecast
617,7022,0,2017-07-24,98,Forecast
618,7022,0,2017-07-31,114,Forecast
619,7022,0,2017-08-07,143,Forecast
620,7022,1,2017-07-11,266,Forecast
621,7022,1,2017-07-18,268,Forecast
622,7022,1,2017-07-25,196,Forecast
623,7022,1,2017-08-01,236,Forecast
624,7022,2,2017-07-12,251,Forecast
625,7022,2,2017-07-19,306,Forecast
626,7022,2,2017-07-26,283,Forecast
627,7022,2,2017-08-02,273,Forecast
628,7022,3,2017-07-13,285,Forecast
629,7022,3,2017-07-20,311,Forecast
630,7022,3,2017-07-27,304,Forecast
631,7022,3,2017-08-03,294,Forecast
632,7022,4,2017-07-14,287,Forecast
633,7022,4,2017-07-21,273,Forecast
634,7022,4,2017-07-28,291,Forecast
635,7022,4,2017-08-04,252,Forecast
636,7022,5,2017-07-15,246,Forecast
637,7022,5,2017-07-22,252,Forecast
638,7022,5,2017-07-29,244,Forecast
639,7022,5,2017-08-05,233,Forecast
640,7022,6,2017-07-16,113,Forecast
641,7022,6,2017-07-23,105,Forecast
642,7022,6,2017-07-30,108,Forecast
643,7022,6,2017-08-06,99,Forecast
644,7023,0,2017-07-17,85,Forecast
645,7023,0,2017-07-24,84,Forecast
646,7023,0,2017-07-31,79,Forecast
647,7023,0,2017-08-07,70,Forecast
648,7023,1,2017-07-11,85,Forecast
649,7023,1,2017-07-18,82,Forecast
650,7023,1,2017-07-25,72,Forecast
651,7023,1,2017-08-01,84,Forecast
652,7023,2,2017-07-12,88,Forecast
653,7023,2,2017-07-19,101,Forecast
654,7023,2,2017-07-26,93,Forecast
655,7023,2,2017-08-02,79,Forecast
656,7023,3,2017-07-13,85,Forecast
657,7023,3,2017-07-20,99,Forecast
658,7023,3,2017-07-27,98,Forecast
659,7023,3,2017-08-03,97,Forecast
660,7023,4,2017-07-14,106,Forecast
661,7023,4,2017-07-21,97,Forecast
662,7023,4,2017-07-28,107,Forecast
663,7023,4,2017-08-04,101,Forecast
664,7023,5,2017-07-15,109,Forecast
